1,#ioc,#lowercase_no_space,#orig,#ip,#Whois,#Notes,#feed_name
37,sinkhole_shadowserver,shadowserver,Shadowserver,178.162.203.226/32,sinkhole-02.shadowserver.org,,sinkhole_ip_tisiphone
38,sinkhole_shadowserver,shadowserver,Shadowserver,178.162.203.202/32,sinkhole-03.shadowserver.org,,sinkhole_ip_tisiphone
39,sinkhole_sidn_labs,sidn_labs,SIDN Labs,176.58.104.168/32,sinkhole.sidnlabs.nl,,sinkhole_ip_tisiphone
40,sinkhole_sinkhole_security,sinkhole_security,Sinkhole Security,46.165.240.181/32,botsmustdie[@]gmail.com,https://www.threatcrowd.org/domain.php?domain=NS2.SUGARBUCKET.US,sinkhole_ip_tisiphone
41,sinkhole_sinkhole.dk,sinkhole.dk,sinkhole.DK,212.227.20.19/32,sinkhole.dk,,sinkhole_ip_tisiphone
42,sinkhole_sinkhole.in,sinkhole.in,sinkhole.in,86.124.164.25/32,sinkhole.in,,sinkhole_ip_tisiphone
43,sinkhole_sinkhole.ru,sinkhole.ru,sinkhole.ru,109.70.26.37/32,sinkhole.ru,"X-RU-Sinkhole: In Soviet Russia, Malware Sinkholes you!",sinkhole_ip_tisiphone
43,sinkhole_sinkhole.ru,sinkhole.ru,sinkhole.ru,194.85.61.76/32,sinkhole.ru,"X-RU-Sinkhole: In Soviet Russia, Malware Sinkholes you!",sinkhole_ip_tisiphone
43,sinkhole_sinkhole.ru,sinkhole.ru,sinkhole.ru,95.211.230.75/32,sinkhole.ru,"X-RU-Sinkhole: In Soviet Russia, Malware Sinkholes you!",sinkhole_ip_tisiphone
44,sinkhole_sinkhole.tech,sinkhole.tech,sinkhole.tech,79.137.66.14/32,http3.sinkhole.tech,,sinkhole_ip_tisiphone
45,sinkhole_sinkhole.tech,sinkhole.tech,sinkhole.tech,95.211.174.92/32,sinkhole.tech,,sinkhole_ip_tisiphone
46,sinkhole_sinkhole.tech,sinkhole.tech,sinkhole.tech,144.217.254.3/32,http4.sinkhole.tech,,sinkhole_ip_tisiphone
47,sinkhole_sinkhole.tech,sinkhole.tech,sinkhole.tech,217.182.172.139/32,http1.sinkhole.tech,,sinkhole_ip_tisiphone
48,sinkhole_sinkhole.tech,sinkhole.tech,sinkhole.tech,144.217.74.156/32,http2.sinkhole.tech,,sinkhole_ip_tisiphone
49,sinkhole_sisra_abuse.ch,sisra_abuse.ch,SISRA Abuse.ch,104.155.11.149/32,this-domain-is-sinkholed-by.abuse.ch,,sinkhole_ip_tisiphone
50,sinkhole_spamhaus,spamhaus,Spamhaus,208.43.245.213/32,sl-reverse.com,,sinkhole_ip_tisiphone
50,sinkhole_spamhaus,spamhaus,Spamhaus,173.192.192.10/32,sl-reverse.com,,sinkhole_ip_tisiphone
50,sinkhole_spamhaus,spamhaus,Spamhaus,199.231.211.108/32,sl-reverse.com,,sinkhole_ip_tisiphone
50,sinkhole_spamhaus,spamhaus,Spamhaus,198.98.120.157/32,sl-reverse.com,,sinkhole_ip_tisiphone
50,sinkhole_spamhaus,spamhaus,Spamhaus,192.42.116.41/32,sl-reverse.com,,sinkhole_ip_tisiphone
50,sinkhole_spamhaus,spamhaus,Spamhaus,87.255.51.229/32,sl-reverse.com,,sinkhole_ip_tisiphone
51,sinkhole_team_cymru,team_cymru,Team Cymru,38.102.150.29/32,conficker-sinkhole.net,,sinkhole_ip_tisiphone
51,sinkhole_team_cymru,team_cymru,Team Cymru,38.229.70.125/32,conficker-sinkhole.net,,sinkhole_ip_tisiphone
52,sinkhole_torpig-sinkhole,torpig-sinkhole,Torpig-Sinkhole,212.227.55.84/32,torpig-sinkhole.org,,sinkhole_ip_tisiphone
52,sinkhole_torpig-sinkhole,torpig-sinkhole,Torpig-Sinkhole,87.106.240.162/32,torpig-sinkhole.org,,sinkhole_ip_tisiphone
52,sinkhole_torpig-sinkhole,torpig-sinkhole,Torpig-Sinkhole,87.106.140.254/32,torpig-sinkhole.org,,sinkhole_ip_tisiphone
52,sinkhole_torpig-sinkhole,torpig-sinkhole,Torpig-Sinkhole,87.106.141.15/32,torpig-sinkhole.org,,sinkhole_ip_tisiphone
53,sinkhole_wapack_labs,wapack_labs,Wapack Labs,23.253.46.64/32,,https://wapacklabs.blogspot.com/2016/07/wapack-labs-sinkhole-results-18.html,sinkhole_ip_tisiphone
54,sinkhole_zinkhole.org,zinkhole.org,Zinkhole.org,176.31.62.76/32,suspended-domain.org,,sinkhole_ip_tisiphone
54,sinkhole_zinkhole.org,zinkhole.org,Zinkhole.org,178.32.140.251/32,suspended-domain.org,,sinkhole_ip_tisiphone
54,sinkhole_zinkhole.org,zinkhole.org,Zinkhole.org,94.23.175.2/32,suspended-domain.org,,sinkhole_ip_tisiphone
